Obtid,Time,TEMP,P,HUM,WDR,WS,R,VIZ
57957,20220917115400,4.7,1003.7,67,148,6.8,1.1,10423.1
57958,20220917115400,27.6,1021.4,21,262,4.3,0.1,10453.2
59021,20220917115400,11.0,1002.2,63,118,14.6,1.1,10396.2
59023,20220917115400,22.7,1001.2,71,26,11.7,0.3,10438.5
59027,20220917115400,16.8,1018.0,2,296,1.2,1.1,10457.0
59037,20220917115400,14.7,1008.2,50,91,1.7,0.9,10073.5
59046,20220917115400,31.3,1020.1,62,225,14.8,0.7,10478.4
59058,20220917115400,4.1,1024.6,11,176,2.8,0.8,10456.2
59065,20220917115400,13.7,1023.5,49,62,13.5,1.3,10107.9
59209,20220917115400,11.5,1000.3,47,182,2.3,0.7,10367.5
59211,20220917115400,27.7,1004.3,99,122,2.6,0.4,10313.2
59218,20220917115400,34.7,1019.9,75,296,7.0,0.4,10189.7
59228,20220917115400,0.2,1023.9,40,266,14.6,1.1,10237.2
59242,20220917115400,14.4,1024.3,72,23,5.8,0.1,10066.4
59254,20220917115400,33.0,1017.4,59,353,13.7,0.9,10104.9
59265,20220917115400,30.8,1010.1,47,203,6.0,0.9,10005.8
59417,20220917115400,23.7,1004.9,84,131,8.0,0.6,10311.6
59431,20220917115400,11.1,1000.6,11,73,0.1,0.5,10277.5
59446,20220917115400,34.9,1011.9,63,193,2.3,0.4,10126.5
59453,20220917115400,30.5,1014.1,99,197,5.4,0.5,10397.3
59626,20220917115400,20.9,1002.5,40,50,8.1,1.4,10086.9
59631,20220917115400,2.8,1020.7,64,65,5.8,0.9,10222.0
59632,20220917115400,2.7,1005.0,55,322,1.4,0.8,10475.5
59644,20220917115400,9.5,1006.6,39,229,7.2,1.3,10320.8
59647,20220917115400,8.0,1000.9,99,136,10.6,0.5,10497.8
56691,20220917115400,18.2,1019.3,32,273,11.0,0.2,10219.6
56693,20220917115400,32.6,1017.3,9,191,8.3,0.7,10072.4
56792,20220917115400,7.1,1004.6,73,346,7.2,0.3,10318.6
56793,20220917115400,26.6,1007.5,66,308,8.4,0.3,10359.8
57606,20220917115400,21.2,1024.4,75,61,6.9,0.5,10080.1
57614,20220917115400,22.3,1002.9,38,243,2.9,1.4,10025.4
57625,20220917115400,1.4,1003.1,40,211,14.2,0.7,10002.7
57647,20220917115400,1.5,1026.1,37,216,2.6,0.5,10093.5
57707,20220917115400,25.4,1024.3,73,142,12.4,1.4,10318.6
57710,20220917115400,11.5,1021.3,24,95,5.9,0.4,10384.8
57712,20220917115400,14.4,1005.1,65,284,6.9,1.5,10443.2
57718,20220917115400,4.5,1008.4,69,141,9.5,0.0,10148.3
57722,20220917115400,19.4,1024.9,46,104,12.9,0.1,10253.7
57729,20220917115400,15.4,1010.5,76,168,7.0,1.4,10423.7
57731,20220917115400,31.6,1005.3,7,181,11.7,1.5,10368.8
57741,20220917115400,16.9,1014.3,97,232,4.7,0.4,10339.4
57803,20220917115400,16.8,1021.0,35,99,7.9,0.3,10029.1
57805,20220917115400,33.1,1006.3,95,123,6.5,0.5,10135.3
57806,20220917115400,25.6,1004.4,88,228,8.0,1.4,10290.0
57816,20220917115400,23.7,1006.2,19,127,14.5,1.0,10051.9
57825,20220917115400,2.0,1004.8,26,312,5.0,0.0,10460.3
57827,20220917115400,8.1,1012.1,19,329,9.2,0.9,10137.1
57832,20220917115400,4.9,1013.6,16,105,10.6,0.3,10039.0
57839,20220917115400,15.6,1017.6,55,195,7.0,0.0,10352.3
57840,20220917115400,7.2,1020.8,15,234,1.8,0.0,10227.1
57902,20220917115400,10.1,1008.7,22,189,4.5,0.4,10324.0
57906,20220917115400,24.8,1023.7,95,287,9.3,1.0,10260.6
57907,20220917115400,8.5,1015.9,7,77,7.0,0.4,10028.8
57910,20220917115400,7.5,1025.7,100,309,2.5,1.3,10274.3
57912,20220917115400,19.5,1019.3,83,186,5.5,0.0,10492.5
57916,20220917115400,10.1,1018.8,59,140,10.5,0.9,10344.3
57922,20220917115400,33.3,1017.7,33,210,8.8,1.0,10243.8
57926,20220917115400,7.8,1007.2,13,162,4.1,1.1,10261.7
57932,20220917115400,7.3,1003.6,40,275,8.0,0.2,10269.9
59758,20220917115400,9.4,1020.5,50,348,7.8,0.4,10345.0
59838,20220917115400,7.2,1014.5,69,43,3.4,0.0,10444.1
59845,20220917115400,9.5,1004.9,74,182,14.9,0.5,10212.1
59849,20220917115400,34.6,1018.5,100,39,7.6,0.7,10293.6
59855,20220917115400,25.8,1014.0,57,306,9.5,1.3,10229.5
59948,20220917115400,27.0,1014.2,16,288,3.4,1.2,10439.1
59954,20220917115400,14.3,1026.3,30,182,13.5,0.6,10361.3
59981,20220917115400,30.5,1021.4,13,84,14.1,1.2,10407.2
53399,20220917115400,26.8,1019.0,11,66,12.0,1.4,10384.0
53593,20220917115400,31.5,1013.6,59,72,14.5,0.2,10147.4
53698,20220917115400,27.3,1003.5,96,90,10.0,0.4,10309.6
53798,20220917115400,1.4,1000.1,70,121,1.7,1.0,10242.4
54308,20220917115400,15.3,1015.1,35,188,10.3,0.0,10029.1
54311,20220917115400,5.8,1018.3,31,220,14.1,0.4,10401.2
54401,20220917115400,26.8,1002.9,85,188,12.6,1.5,10498.3
54405,20220917115400,7.2,1017.1,65,176,3.4,1.3,10076.6
54423,20220917115400,23.9,1012.9,89,284,11.7,1.0,10115.4
54429,20220917115400,7.6,1010.1,51,323,3.1,0.8,10092.5
54436,20220917115400,14.9,1007.1,68,301,13.7,1.5,10290.8
54449,20220917115400,34.5,1000.0,53,183,4.3,0.8,10301.2
54518,20220917115400,25.7,1003.2,2,181,7.3,0.9,10079.3
54534,20220917115400,1.4,1026.1,43,81,8.0,0.1,10166.8
54535,20220917115400,5.8,1012.7,41,28,14.8,0.0,10230.1
54539,20220917115400,15.7,1013.5,83,122,5.0,1.1,10408.9
54602,20220917115400,14.4,1012.3,9,283,10.7,1.0,10061.8
54606,20220917115400,25.3,1000.9,55,42,11.3,0.5,10478.8
54618,20220917115400,32.3,1010.2,41,228,6.9,0.5,10049.0
54624,20220917115400,24.0,1012.5,50,136,6.0,1.2,10296.2
54705,20220917115400,13.0,1006.9,8,308,2.4,1.1,10368.1
53898,20220917115400,14.4,1019.7,89,35,12.7,0.2,10430.4
53986,20220917115400,4.6,1025.4,73,117,8.3,0.1,10360.1
57051,20220917115400,25.2,1012.8,47,123,14.3,1.1,10301.7
57067,20220917115400,8.1,1008.9,42,58,9.8,0.0,10293.2
57071,20220917115400,14.1,1010.7,59,157,14.5,1.4,10111.9
57077,20220917115400,27.6,1000.8,62,106,3.4,0.5,10263.0
57083,20220917115400,20.8,1016.0,53,91,0.0,1.0,10469.7
57084,20220917115400,31.2,1017.6,78,151,12.5,1.4,10411.2
57089,20220917115400,10.8,1022.0,97,69,13.7,1.5,10068.0
57091,20220917115400,21.7,1018.7,31,268,5.2,1.5,10218.7
57156,20220917115400,21.9,1024.8,34,85,12.9,1.4,10297.0
57178,20220917115400,19.2,1020.3,75,55,3.4,1.5,10287.3
57181,20220917115400,26.0,1025.8,48,8,4.3,0.0,10251.4
57193,20220917115400,28.0,1024.5,100,199,6.4,0.9,10170.7
57285,20220917115400,32.1,1011.4,7,234,5.2,1.5,10371.3
57290,20220917115400,17.6,1021.9,92,63,7.0,0.5,10310.7
57297,20220917115400,8.7,1021.5,69,248,4.3,0.3,10171.2
58005,20220917115400,26.7,1011.3,50,32,6.8,0.4,10479.1
58111,20220917115400,10.7,1022.4,72,122,0.3,0.5,10297.2
58208,20220917115400,27.6,1024.0,20,281,0.2,1.0,10056.7
50136,20220917115400,23.5,1012.7,47,340,14.7,1.0,10496.4
50246,20220917115400,26.0,1007.9,62,320,4.7,1.1,10287.2
50247,20220917115400,16.5,1003.9,45,83,4.1,0.3,10072.1
50349,20220917115400,17.3,1017.6,14,332,6.6,0.4,10044.4
50353,20220917115400,17.7,1011.9,3,214,7.1,1.3,10482.2
50442,20220917115400,12.3,1017.0,29,212,4.9,0.5,10212.6
50468,20220917115400,24.5,1020.2,49,219,1.4,0.4,10077.6
50557,20220917115400,13.9,1011.1,80,31,5.7,0.4,10061.4
50564,20220917115400,20.2,1014.8,3,26,2.2,0.8,10352.6
50656,20220917115400,7.0,1009.5,69,227,2.1,0.4,10317.3
50658,20220917115400,23.3,1022.9,76,233,14.2,1.5,10307.7
50674,20220917115400,33.1,1021.5,67,263,3.1,1.3,10073.0
50739,20220917115400,20.0,1016.6,23,175,11.9,1.2,10033.3
50742,20220917115400,31.9,1016.6,3,218,3.6,0.6,10490.0
50745,20220917115400,29.8,1007.0,89,82,11.0,0.7,10158.2
50756,20220917115400,1.6,1012.6,1,32,11.1,1.0,10389.3
50758,20220917115400,10.6,1023.4,94,313,0.7,0.0,10262.4
50774,20220917115400,0.4,1001.4,63,170,12.5,1.2,10302.7
50778,20220917115400,14.5,1018.9,19,83,0.9,0.7,10463.0
50788,20220917115400,24.6,1022.7,66,55,11.3,0.9,10185.4
50844,20220917115400,2.4,1001.3,15,111,14.9,1.2,10012.7
50853,20220917115400,28.0,1008.3,6,336,12.2,1.1,10271.5
50854,20220917115400,25.2,1021.3,20,334,2.4,1.0,10282.6
50862,20220917115400,22.3,1005.4,48,145,12.1,0.8,10295.8
50873,20220917115400,0.2,1019.1,21,53,6.6,0.7,10464.3
50877,20220917115400,4.5,1012.0,42,125,2.3,0.6,10440.6
50888,20220917115400,7.9,1022.0,72,25,0.0,0.7,10477.0
50950,20220917115400,5.5,1007.3,2,51,13.2,0.8,10187.1
50953,20220917115400,5.3,1008.2,50,134,14.5,1.4,10046.2
50955,20220917115400,16.6,1011.7,97,29,5.4,1.3,10492.1
50963,20220917115400,15.8,1010.2,68,334,5.2,1.5,10232.9
50968,20220917115400,0.3,1023.4,84,272,1.7,0.8,10257.6
50973,20220917115400,22.2,1026.1,12,138,5.0,1.3,10328.8
50978,20220917115400,6.6,1003.0,66,287,4.4,0.5,10400.9
50983,20220917115400,24.2,1019.6,44,47,8.8,1.4,10254.5
54094,20220917115400,34.0,1001.8,26,208,13.7,0.5,10242.1
54096,20220917115400,32.9,1013.2,76,227,3.6,0.2,10015.7
57251,20220917115400,30.2,1001.6,24,72,8.6,1.2,10388.8
57256,20220917115400,22.7,1012.1,80,10,5.2,1.0,10027.7
57259,20220917115400,26.8,1005.2,64,86,14.0,1.2,10020.2
57265,20220917115400,30.2,1016.6,19,116,0.1,0.9,10111.0
57278,20220917115400,10.6,1024.6,15,3,3.3,0.5,10413.2
57279,20220917115400,20.1,1008.7,99,256,13.0,0.6,10486.2
57355,20220917115400,31.6,1002.2,49,98,13.9,0.3,10340.9
57358,20220917115400,33.4,1003.1,3,130,10.5,1.2,10444.0
57359,20220917115400,23.8,1005.5,43,45,14.8,1.2,10431.2
57363,20220917115400,24.5,1017.7,29,105,2.6,0.6,10255.8
57378,20220917115400,18.7,1021.6,100,332,0.9,0.7,10105.5
57381,20220917115400,24.1,1014.0,87,150,6.4,1.2,10253.1
57395,20220917115400,32.8,1008.7,40,267,2.7,0.5,10146.5
57399,20220917115400,28.7,1007.9,45,281,4.1,0.4,10078.9
57439,20220917115400,7.5,1016.1,32,307,0.9,1.4,10047.8
57445,20220917115400,31.8,1011.2,94,99,9.4,1.1,10199.8
57447,20220917115400,4.1,1014.8,43,349,8.5,0.1,10129.7
57458,20220917115400,1.4,1015.8,81,121,6.2,0.9,10239.1
57461,20220917115400,17.3,1023.1,21,194,0.2,0.7,10072.7
57476,20220917115400,6.3,1019.1,77,172,6.8,0.9,10011.5
57482,20220917115400,6.4,1008.7,54,223,12.5,0.3,10490.4
57483,20220917115400,26.2,1017.7,62,6,0.0,0.5,10281.5
57493,20220917115400,33.9,1025.0,23,287,7.2,1.4,10368.3
57494,20220917115400,15.9,1022.8,99,220,3.4,0.2,10157.2
57545,20220917115400,6.4,1025.7,77,308,14.9,0.9,10065.8
57573,20220917115400,18.8,1015.5,49,108,6.2,0.5,10293.8
57581,20220917115400,20.1,1025.4,34,126,7.7,1.1,10372.3
57583,20220917115400,14.6,1006.2,91,177,0.2,1.2,10365.9
57595,20220917115400,31.6,1025.9,44,324,11.1,1.5,10469.7
58402,20220917115400,16.2,1021.3,9,98,8.5,1.2,10145.2
58407,20220917115400,9.4,1025.2,45,241,2.3,0.9,10016.0
58500,20220917115400,28.3,1001.7,85,121,4.1,1.0,10230.9
57554,20220917115400,13.9,1003.9,50,3,8.0,0.8,10392.1
57562,20220917115400,32.0,1022.0,92,165,2.0,1.1,10066.0
57574,20220917115400,14.8,1015.7,74,44,12.4,1.3,10312.9
57584,20220917115400,30.1,1022.8,5,240,8.7,0.8,10146.0
57642,20220917115400,19.2,1017.6,82,185,3.0,0.6,10210.5
57649,20220917115400,34.7,1013.9,36,233,3.9,1.1,10240.5
57655,20220917115400,18.6,1022.3,54,188,8.6,0.2,10313.3
57662,20220917115400,31.3,1014.9,90,162,4.9,0.1,10372.7
57669,20220917115400,29.0,1025.5,66,347,5.1,1.0,10214.1
57671,20220917115400,1.6,1008.8,54,183,5.4,1.3,10163.2
57673,20220917115400,19.6,1017.3,59,137,14.8,1.1,10459.7
57679,20220917115400,17.1,1000.6,98,339,9.0,0.2,10117.0
57682,20220917115400,31.7,1008.8,25,58,12.0,0.5,10301.1
57687,20220917115400,10.3,1019.9,44,18,1.9,1.2,10498.7
57745,20220917115400,31.6,1020.7,2,9,10.7,0.7,10248.3
57749,20220917115400,22.7,1023.2,53,324,6.5,1.3,10392.4
57752,20220917115400,24.3,1008.2,6,309,12.7,1.3,10002.0
57758,20220917115400,33.3,1018.3,78,103,11.2,0.0,10072.3
57761,20220917115400,32.1,1014.6,88,167,6.0,1.3,10062.7
57766,20220917115400,26.7,1020.5,8,296,12.5,1.1,10347.0
57774,20220917115400,10.0,1004.2,17,90,5.4,0.1,10296.7
57776,20220917115400,5.7,1004.9,79,84,2.7,1.2,10465.4
57779,20220917115400,30.3,1020.0,94,46,5.3,0.1,10048.1
57780,20220917115400,9.3,1013.2,15,72,2.2,0.1,10147.3
57841,20220917115400,28.6,1025.2,33,0,14.6,0.8,10308.5
57845,20220917115400,23.5,1012.1,42,337,7.8,1.5,10451.9
57853,20220917115400,12.4,1024.1,81,229,6.2,1.4,10433.8
57857,20220917115400,20.6,1014.7,14,281,7.9,1.5,10159.6
57860,20220917115400,9.6,1005.7,26,113,8.4,1.4,10132.9
57866,20220917115400,29.7,1020.0,88,197,3.4,1.2,10456.6
57872,20220917115400,22.9,1024.1,48,209,3.3,0.4,10232.1
57874,20220917115400,34.8,1014.4,99,104,1.3,1.1,10372.6
57889,20220917115400,25.4,1016.2,64,357,9.4,0.5,10364.4
57965,20220917115400,7.4,1013.1,48,55,1.1,1.0,10172.2
57972,20220917115400,19.2,1018.6,80,329,2.0,0.6,10435.5
57974,20220917115400,25.5,1009.6,3,304,11.2,0.4,10376.0
50936,20220917115400,11.9,1013.6,19,299,1.0,0.6,10062.7
50945,20220917115400,24.4,1004.6,20,19,7.4,1.5,10261.5
50948,20220917115400,13.0,1003.8,8,33,2.2,0.2,10253.4
50949,20220917115400,24.9,1001.9,74,259,2.3,0.7,10412.7
54041,20220917115400,25.2,1004.8,24,253,4.6,0.6,10006.3
54049,20220917115400,17.0,1006.9,50,115,4.7,0.1,10023.1
54063,20220917115400,4.3,1015.3,10,236,14.1,0.0,10496.8
54064,20220917115400,13.4,1000.6,85,219,7.1,0.5,10088.6
54142,20220917115400,13.1,1019.7,62,93,1.7,0.5,10371.8
54157,20220917115400,33.3,1003.9,80,51,5.3,0.4,10493.4
54161,20220917115400,29.3,1009.4,43,3,3.7,0.7,10394.8
54165,20220917115400,12.0,1023.2,74,288,7.8,1.3,10150.7
54171,20220917115400,34.8,1010.3,19,99,0.5,0.4,10463.9
54181,20220917115400,29.3,1006.9,80,309,9.8,1.4,10479.8
54186,20220917115400,0.5,1008.6,1,145,9.2,1.4,10236.6
54195,20220917115400,19.9,1012.0,12,173,6.9,0.8,10046.2
54260,20220917115400,28.0,1020.8,22,221,11.4,0.4,10085.5
54263,20220917115400,21.6,1006.2,35,96,9.3,1.3,10414.0
54266,20220917115400,4.1,1007.1,99,296,6.7,0.6,10286.6
54273,20220917115400,12.6,1017.7,34,341,14.0,0.0,10184.1
54276,20220917115400,15.2,1002.1,21,79,2.4,0.1,10017.9
54284,20220917115400,25.6,1025.5,15,302,10.9,0.0,10461.7
54285,20220917115400,31.6,1023.5,48,355,4.3,0.2,10234.9
54286,20220917115400,9.8,1005.6,45,232,13.9,0.1,10141.9
54292,20220917115400,15.0,1014.9,73,30,10.5,0.0,10127.4
54363,20220917115400,10.0,1020.2,64,312,12.5,0.9,10259.2
54374,20220917115400,4.0,1011.6,97,339,4.8,0.7,10218.6
54377,20220917115400,26.0,1013.6,31,104,13.8,0.6,10281.1
54386,20220917115400,0.2,1009.4,43,278,8.0,0.6,10108.8
58026,20220917115400,20.9,1002.5,51,246,9.7,1.3,10024.7
58027,20220917115400,24.1,1019.9,77,291,2.7,0.8,10311.8
58038,20220917115400,10.9,1023.5,41,70,6.3,0.6,10101.2
58040,20220917115400,2.2,1023.7,56,42,10.1,0.5,10086.0
58047,20220917115400,23.8,1006.8,42,148,2.5,0.7,10240.1
58130,20220917115400,11.0,1005.4,26,359,0.5,1.3,10496.2
58135,20220917115400,27.6,1002.3,65,41,5.0,1.2,10261.7
58138,20220917115400,8.3,1021.2,10,187,2.4,1.2,10314.2
58141,20220917115400,6.3,1019.3,43,20,7.8,1.1,10027.6
58143,20220917115400,20.8,1006.3,15,38,13.7,1.1,10349.1
58150,20220917115400,33.2,1000.0,92,318,7.5,0.7,10387.3
58158,20220917115400,13.1,1003.8,75,268,4.0,1.1,10499.8
58238,20220917115400,0.2,1004.7,58,83,1.7,1.1,10233.6
58241,20220917115400,17.4,1016.1,36,11,1.4,0.2,10246.2
58251,20220917115400,28.1,1005.8,11,107,14.0,1.3,10390.0
58252,20220917115400,7.1,1014.0,69,2,12.4,0.6,10172.1
58255,20220917115400,30.3,1003.1,91,333,3.3,0.3,10498.3
58259,20220917115400,14.8,1018.5,85,169,3.6,0.7,10436.9
58265,20220917115400,0.1,1006.6,35,37,1.5,1.2,10034.5
58343,20220917115400,33.8,1011.3,34,3,1.0,0.1,10375.9
58345,20220917115400,25.1,1012.7,1,141,12.8,1.1,10252.7
58354,20220917115400,13.6,1000.7,15,77,9.5,1.0,10406.6
58356,20220917115400,4.2,1013.5,71,286,14.3,0.0,10227.9
58358,20220917115400,1.4,1010.8,100,216,10.3,1.2,10150.7
57598,20220917115400,31.4,1003.3,9,60,8.2,1.3,10153.7
57696,20220917115400,13.0,1024.4,40,95,4.6,0.5,10299.3
57789,20220917115400,15.9,1023.1,63,317,12.8,1.2,10232.2
57793,20220917115400,14.5,1009.8,8,32,4.8,1.0,10460.5
57799,20220917115400,34.7,1023.6,92,166,7.4,0.3,10369.8
57894,20220917115400,4.4,1024.2,72,30,1.6,1.4,10432.0
57896,20220917115400,2.1,1013.6,94,106,12.2,1.1,10163.8
57993,20220917115400,9.5,1021.1,100,123,3.4,1.0,10465.2
58506,20220917115400,8.0,1022.4,8,247,10.5,0.6,10441.4
58507,20220917115400,13.6,1017.2,25,81,1.4,1.2,10495.1
