站点代码, 数据时间, 气温, 气压, 相对湿度, 风向, 风速, 降雨量, 能见度
58744,20221029084542,8.3,1024.2,84,241,9.2,0.7,10488.5
58754,20221029084542,18.5,1002.1,100,357,8.6,1.3,10140.7
58818,20221029084542,7.0,1005.0,74,6,0.5,1.0,10106.9
58820,20221029084542,20.8,1006.5,4,114,3.6,0.6,10076.2
58834,20221029084542,4.7,1011.4,60,310,5.8,0.2,10099.9
58837,20221029084542,18.9,1012.5,93,156,11.1,0.7,10420.0
58843,20221029084542,23.2,1007.3,95,239,0.5,1.5,10388.1
58846,20221029084542,15.4,1018.4,29,262,0.1,1.1,10284.3
58847,20221029084542,33.4,1020.4,67,64,14.8,0.2,10113.0
58911,20221029084542,3.0,1010.9,90,280,2.0,0.5,10061.6
58918,20221029084542,8.9,1014.4,62,321,2.2,1.5,10009.3
58921,20221029084542,1.8,1011.0,18,270,6.1,1.3,10122.3
58926,20221029084542,26.6,1011.6,45,340,3.5,0.2,10324.6
58927,20221029084542,33.1,1023.0,4,343,11.5,0.8,10306.2
58931,20221029084542,1.0,1006.9,52,198,9.8,0.8,10266.3
58933,20221029084542,29.3,1005.1,25,140,4.8,0.6,10441.0
58936,20221029084542,30.1,1005.8,7,352,7.4,1.0,10170.1
58944,20221029084542,15.5,1010.8,93,216,10.5,0.3,10259.7
59113,20221029084542,3.8,1013.8,47,129,11.2,0.9,10086.6
59126,20221029084542,6.4,1022.8,85,15,3.5,0.8,10134.2
59133,20221029084542,27.8,1008.4,83,335,9.8,1.3,10412.6
59134,20221029084542,26.6,1013.3,96,206,5.8,0.3,10067.8
59321,20221029084542,14.3,1008.8,79,136,12.1,0.4,10234.0
52323,20221029084542,6.6,1002.4,79,209,3.7,1.0,10342.9
52418,20221029084542,12.7,1016.7,26,80,7.9,0.3,10213.8
52424,20221029084542,0.4,1006.3,27,153,4.4,0.9,10194.7
52436,20221029084542,16.2,1019.3,27,26,4.1,0.4,10138.2
52446,20221029084542,17.8,1016.3,54,19,10.4,1.5,10347.6
52447,20221029084542,8.6,1022.0,87,310,1.9,0.3,10186.9
52533,20221029084542,20.6,1002.7,90,327,7.3,0.3,10058.1
52546,20221029084542,6.3,1007.1,25,99,9.5,1.4,10285.4
52652,20221029084542,1.7,1000.1,46,43,3.7,0.6,10449.7
52661,20221029084542,23.8,1009.3,56,207,7.8,0.1,10355.1
52674,20221029084542,21.5,1021.6,41,278,3.1,1.0,10153.3
52679,20221029084542,0.5,1003.2,63,41,13.4,1.5,10066.6
52681,20221029084542,3.5,1008.9,83,79,4.8,1.1,10445.8
52787,20221029084542,21.5,1004.2,30,300,1.0,0.4,10351.1
52797,20221029084542,25.4,1005.0,79,110,13.8,0.6,10119.6
52884,20221029084542,22.1,1004.7,18,55,0.2,0.0,10132.1
52895,20221029084542,24.7,1000.4,94,19,6.0,1.5,10409.5
52983,20221029084542,33.7,1012.3,66,327,3.2,0.6,10226.9
52984,20221029084542,7.6,1013.2,49,175,11.4,0.2,10002.1
52986,20221029084542,30.2,1010.8,18,136,10.3,0.3,10044.2
52996,20221029084542,0.6,1003.9,5,143,4.0,0.5,10333.6
53821,20221029084542,25.3,1005.3,53,51,2.8,0.1,10346.0
53915,20221029084542,28.6,1021.0,39,335,5.0,1.4,10011.6
53923,20221029084542,33.6,1019.6,21,213,1.7,0.6,10008.9
56074,20221029084542,5.2,1013.0,7,337,14.6,0.6,10414.7
56080,20221029084542,2.4,1014.8,35,196,3.3,0.6,10185.0
56093,20221029084542,3.5,1001.3,63,285,12.5,0.0,10183.1
56096,20221029084542,21.4,1023.9,77,324,10.7,0.0,10029.1
57014,20221029084542,33.4,1016.6,20,26,11.3,0.5,10392.8
57996,20221029084542,24.4,1026.1,48,25,9.6,1.3,10122.5
59072,20221029084542,26.8,1024.9,86,346,13.4,0.7,10043.3
59082,20221029084542,4.6,1000.5,57,277,14.1,0.8,10307.3
59087,20221029084542,25.1,1011.3,99,215,2.1,0.2,10447.4
59088,20221029084542,24.6,1023.0,98,146,3.1,0.8,10218.6
59096,20221029084542,0.2,1016.0,79,52,5.6,0.7,10278.0
59097,20221029084542,18.1,1018.5,83,209,11.5,1.0,10197.7
59107,20221029084542,15.1,1002.8,20,76,10.6,0.2,10199.2
59116,20221029084542,28.9,1000.3,6,74,8.3,1.0,10118.1
59117,20221029084542,17.6,1005.5,6,106,8.2,0.3,10413.8
59271,20221029084542,30.0,1025.2,70,328,11.7,0.3,10018.4
59278,20221029084542,16.3,1026.2,17,150,11.5,0.8,10373.5
59280,20221029084542,1.1,1015.6,83,280,4.4,0.3,10458.5
59287,20221029084542,22.9,1003.9,29,16,14.2,0.1,10063.9
59289,20221029084542,22.1,1011.5,7,243,7.4,1.5,10051.5
59293,20221029084542,27.0,1011.4,22,296,2.1,0.6,10410.2
59294,20221029084542,31.7,1011.8,19,191,13.4,0.0,10211.2
59298,20221029084542,14.6,1015.3,79,319,12.9,0.2,10039.9
59303,20221029084542,8.3,1011.6,52,98,6.3,1.3,10182.7
59304,20221029084542,17.1,1007.4,57,142,11.5,0.6,10209.7
59306,20221029084542,12.5,1025.0,78,226,10.0,0.7,10308.1
59310,20221029084542,8.8,1017.0,50,216,9.0,0.3,10008.8
59316,20221029084542,3.4,1006.6,84,55,12.9,1.0,10037.3
59317,20221029084542,2.0,1019.3,59,263,12.8,0.6,10172.0
59324,20221029084542,1.6,1014.9,76,124,1.6,0.9,10077.6
59456,20221029084542,31.1,1001.9,1,12,5.4,0.1,10466.9
59462,20221029084542,28.3,1005.0,49,138,11.8,0.3,10430.4
59478,20221029084542,27.8,1014.6,11,253,5.9,0.8,10394.9
59485,20221029084542,10.7,1004.4,46,205,13.1,1.2,10399.6
59488,20221029084542,28.5,1009.7,84,174,8.4,1.5,10078.7
59493,20221029084542,28.0,1008.9,40,267,6.7,1.1,10482.5
59501,20221029084542,30.2,1005.0,23,155,3.6,0.0,10050.1
59658,20221029084542,5.8,1018.4,9,19,3.8,0.5,10139.8
59663,20221029084542,17.2,1004.6,98,69,10.5,0.1,10451.3
59664,20221029084542,25.8,1015.1,54,132,0.3,1.2,10269.7
59673,20221029084542,1.7,1022.3,77,157,10.4,1.0,10058.9
59754,20221029084542,24.9,1000.6,74,332,4.0,0.6,10096.7
57947,20221029084542,18.7,1000.7,61,90,6.5,0.2,10078.9
57957,20221029084542,23.2,1018.3,7,74,6.1,1.5,10299.6
57958,20221029084542,33.8,1006.1,66,58,8.9,0.1,10449.4
59021,20221029084542,3.7,1010.5,42,348,13.1,1.0,10197.6
59023,20221029084542,5.8,1023.8,65,264,8.8,0.9,10221.5
59027,20221029084542,17.7,1020.2,78,166,8.2,0.3,10095.8
59037,20221029084542,29.3,1023.4,40,110,0.0,1.3,10215.4
59046,20221029084542,30.3,1000.0,97,275,4.8,0.9,10221.9
59058,20221029084542,21.0,1018.6,57,215,10.4,0.8,10075.6
59065,20221029084542,11.5,1021.4,18,338,13.6,1.0,10000.1
59209,20221029084542,34.7,1016.4,70,324,2.3,0.9,10037.1
59211,20221029084542,23.7,1024.1,23,16,6.8,0.3,10084.4
59218,20221029084542,20.9,1014.0,80,78,1.6,1.1,10036.0
59228,20221029084542,7.7,1010.2,17,237,5.7,1.3,10485.4
59242,20221029084542,0.5,1018.9,45,36,11.0,0.1,10367.2
59254,20221029084542,3.7,1017.9,55,209,14.2,1.2,10352.6
59265,20221029084542,24.8,1018.4,82,259,1.2,0.0,10407.0
59417,20221029084542,21.7,1014.2,35,321,5.4,0.2,10139.0
59431,20221029084542,13.6,1003.5,87,221,1.6,1.4,10080.0
59446,20221029084542,18.6,1019.8,58,222,7.4,0.3,10252.3
59453,20221029084542,2.6,1019.6,2,112,4.3,1.4,10187.2
59626,20221029084542,33.7,1022.6,94,255,14.3,1.1,10202.9
59631,20221029084542,27.8,1000.7,9,323,6.9,0.6,10416.8
59632,20221029084542,20.9,1003.1,54,294,13.1,1.0,10243.7
59644,20221029084542,19.1,1009.0,53,226,6.8,1.3,10379.5
59647,20221029084542,18.3,1011.1,75,158,8.7,0.3,10380.2
56691,20221029084542,19.7,1011.3,44,329,3.0,0.7,10289.6
56693,20221029084542,9.1,1008.1,69,118,3.2,0.5,10118.0
56792,20221029084542,4.1,1012.6,34,143,10.6,0.5,10429.3
56793,20221029084542,23.8,1004.7,13,68,3.3,1.0,10381.0
57606,20221029084542,7.8,1004.2,66,320,0.5,0.0,10253.3
57614,20221029084542,4.3,1010.3,75,330,11.6,1.0,10483.4
57625,20221029084542,11.1,1014.9,33,206,4.7,0.5,10118.9
57647,20221029084542,5.9,1019.0,92,133,4.4,0.3,10459.6
57707,20221029084542,30.8,1002.1,33,159,4.8,1.3,10012.5
57710,20221029084542,22.1,1015.9,82,253,2.4,1.5,10099.4
57712,20221029084542,9.9,1018.2,12,192,11.3,1.2,10354.5
57718,20221029084542,12.2,1025.4,49,37,11.2,1.1,10013.4
57722,20221029084542,7.9,1023.4,24,226,8.5,0.8,10157.6
57729,20221029084542,9.8,1021.7,38,58,1.7,0.2,10376.3
57731,20221029084542,24.2,1017.3,68,24,7.2,0.7,10137.5
57741,20221029084542,23.1,1007.0,88,317,8.6,0.3,10259.6
57803,20221029084542,5.7,1008.8,69,137,12.4,1.5,10081.1
57805,20221029084542,30.0,1017.6,33,236,0.9,0.5,10468.1
57806,20221029084542,17.1,1021.9,71,231,11.4,0.6,10046.3
57816,20221029084542,8.5,1016.7,85,215,4.4,0.7,10196.0
57825,20221029084542,16.3,1006.2,91,21,9.2,0.2,10439.5
57827,20221029084542,9.0,1002.1,86,147,0.3,0.5,10360.9
57832,20221029084542,23.5,1004.4,63,262,7.8,1.2,10279.1
57839,20221029084542,34.3,1018.2,22,102,14.1,1.4,10074.0
57840,20221029084542,22.7,1013.8,82,76,9.6,1.5,10193.0
57902,20221029084542,16.2,1017.4,88,269,13.2,0.0,10300.6
57906,20221029084542,17.1,1018.8,65,289,13.4,1.4,10025.8
57907,20221029084542,24.7,1018.5,58,158,13.3,1.0,10064.5
57910,20221029084542,13.9,1022.1,50,212,7.0,1.0,10354.0
57912,20221029084542,19.7,1020.3,78,278,8.2,0.0,10206.8
57916,20221029084542,29.5,1007.2,57,312,8.5,1.2,10432.2
57922,20221029084542,4.7,1010.3,98,177,1.0,0.6,10029.3
57926,20221029084542,26.9,1005.4,40,110,7.3,0.4,10054.1
57932,20221029084542,31.5,1024.0,63,285,2.3,0.3,10190.4
59758,20221029084542,10.6,1009.7,44,93,14.9,1.1,10154.0
59838,20221029084542,15.7,1022.8,32,78,12.1,0.0,10063.3
59845,20221029084542,10.2,1019.1,43,327,12.2,0.1,10374.1
59849,20221029084542,33.4,1025.1,32,262,14.1,0.9,10370.6
59855,20221029084542,13.4,1007.4,84,283,4.1,0.6,10109.4
59948,20221029084542,33.8,1021.9,75,18,5.2,1.3,10400.6
59954,20221029084542,2.1,1018.2,85,78,12.3,1.5,10430.0
59981,20221029084542,1.9,1004.0,87,65,3.2,0.9,10463.1
53399,20221029084542,11.0,1023.9,100,180,4.8,0.2,10480.7
53593,20221029084542,33.0,1012.0,61,135,3.9,0.7,10346.9
53698,20221029084542,13.0,1012.4,4,338,13.2,0.3,10088.8
53798,20221029084542,22.9,1007.6,15,327,7.7,0.9,10037.5
54308,20221029084542,10.3,1005.0,46,274,3.5,0.4,10058.9
54311,20221029084542,25.8,1013.2,91,209,8.9,1.4,10053.9
54401,20221029084542,28.8,1004.4,79,2,8.4,1.3,10186.2
54405,20221029084542,14.5,1011.3,71,57,8.9,1.2,10331.0
54423,20221029084542,30.2,1021.7,91,207,1.0,0.3,10000.5
54429,20221029084542,11.8,1011.9,89,232,10.8,1.4,10434.1
54436,20221029084542,18.1,1012.6,79,199,2.2,1.2,10361.9
54449,20221029084542,24.8,1009.7,47,96,1.5,0.4,10194.0
54518,20221029084542,3.6,1015.6,92,285,9.0,0.5,10226.0
54534,20221029084542,8.5,1026.3,19,347,9.9,1.5,10103.1
54535,20221029084542,1.1,1024.2,46,300,12.0,1.5,10323.0
54539,20221029084542,1.4,1011.7,45,1,7.4,1.1,10252.0
54602,20221029084542,3.3,1008.9,37,87,1.0,0.7,10133.9
54606,20221029084542,34.1,1005.7,30,253,8.0,1.5,10289.0
54618,20221029084542,10.5,1025.1,34,161,14.4,1.0,10119.9
54624,20221029084542,3.9,1024.9,45,339,13.6,0.5,10259.4
54705,20221029084542,5.2,1011.7,44,245,9.1,1.1,10257.7
53898,20221029084542,2.8,1022.8,30,7,2.0,1.0,10347.6
53986,20221029084542,9.5,1002.4,14,173,11.6,1.0,10033.5
57051,20221029084542,9.3,1018.9,29,58,13.3,0.5,10256.4
57067,20221029084542,27.3,1023.4,52,305,14.8,1.0,10181.6
57071,20221029084542,19.7,1019.3,95,25,13.3,1.1,10237.6
57077,20221029084542,12.0,1021.5,18,215,14.5,1.0,10252.4
57083,20221029084542,26.1,1022.6,16,235,6.2,0.8,10048.2
57084,20221029084542,0.6,1021.1,44,358,3.5,1.4,10415.8
57089,20221029084542,11.7,1004.5,46,114,1.5,0.7,10469.5
57091,20221029084542,20.8,1023.5,77,353,0.0,0.1,10037.7
57156,20221029084542,5.3,1016.8,2,278,6.1,0.0,10142.6
57178,20221029084542,9.9,1016.4,92,220,3.5,0.2,10290.0
57181,20221029084542,9.1,1024.3,94,125,12.3,1.4,10220.8
57193,20221029084542,16.7,1007.4,53,339,9.6,0.0,10068.5
57285,20221029084542,19.6,1005.1,6,24,5.6,0.2,10384.7
57290,20221029084542,17.4,1011.5,93,210,13.9,1.5,10210.7
57297,20221029084542,28.0,1024.5,1,117,10.3,0.1,10064.2
58005,20221029084542,5.3,1017.3,84,139,1.4,1.5,10104.1
58111,20221029084542,11.4,1021.4,57,110,4.7,0.9,10129.9
58208,20221029084542,15.7,1002.0,62,70,4.5,1.4,10122.0
50136,20221029084542,32.9,1015.4,75,51,1.1,0.6,10007.4
50246,20221029084542,21.3,1008.4,65,303,5.4,0.7,10171.2
50247,20221029084542,1.0,1013.1,26,232,5.5,0.5,10352.8
50349,20221029084542,7.9,1009.2,49,198,11.7,1.0,10297.6
50353,20221029084542,16.0,1018.8,94,172,0.9,0.4,10046.1
50442,20221029084542,19.5,1021.4,26,127,1.6,1.3,10378.1
50468,20221029084542,17.0,1001.5,46,243,2.6,1.0,10432.2
50557,20221029084542,15.4,1025.6,22,78,10.3,1.4,10280.0
50564,20221029084542,3.8,1010.4,79,268,5.4,1.5,10449.3
50656,20221029084542,34.8,1025.8,57,226,3.8,0.1,10295.2
50658,20221029084542,23.5,1005.9,5,288,11.4,0.1,10189.2
50674,20221029084542,30.9,1010.1,52,356,13.2,0.9,10125.1
50739,20221029084542,8.6,1018.5,16,349,12.9,0.1,10297.6
50742,20221029084542,16.3,1000.9,90,268,1.2,1.0,10102.1
50745,20221029084542,20.7,1021.9,62,170,10.6,0.9,10226.2
50756,20221029084542,22.9,1000.6,64,233,4.7,1.4,10355.4
50758,20221029084542,22.1,1023.9,60,278,8.6,0.7,10401.8
50774,20221029084542,28.5,1011.5,29,52,13.9,1.3,10490.6
50778,20221029084542,29.1,1018.5,41,208,4.7,0.1,10393.7
50788,20221029084542,8.4,1002.3,11,185,14.1,0.5,10391.7
50844,20221029084542,33.5,1012.6,32,239,8.3,1.5,10263.8
50853,20221029084542,16.3,1016.8,17,287,8.8,1.2,10026.8
50854,20221029084542,16.6,1020.4,45,86,8.1,0.4,10199.0
50862,20221029084542,22.7,1022.2,66,273,5.8,0.7,10301.2
50873,20221029084542,19.0,1026.2,50,290,4.4,0.5,10339.4
50877,20221029084542,31.4,1017.6,48,340,4.4,1.5,10118.2
50888,20221029084542,17.2,1004.5,32,336,7.6,0.3,10453.9
50950,20221029084542,19.9,1011.7,2,308,10.1,0.6,10047.9
50953,20221029084542,21.9,1025.3,81,291,10.0,0.6,10497.9
50955,20221029084542,30.4,1011.0,63,285,9.1,0.5,10171.8
50963,20221029084542,1.6,1017.5,66,33,3.7,0.4,10162.8
50968,20221029084542,9.0,1021.9,97,262,8.8,0.5,10245.5
50973,20221029084542,15.6,1011.0,85,131,1.8,0.0,10489.2
50978,20221029084542,27.8,1007.6,16,7,6.3,0.9,10367.4
50983,20221029084542,28.0,1004.4,23,33,6.6,0.4,10054.2
54094,20221029084542,25.3,1024.6,62,260,1.2,0.5,10079.3
54096,20221029084542,4.0,1024.9,58,350,13.1,1.3,10409.1
57251,20221029084542,12.9,1002.2,8,101,10.6,1.0,10201.9
57256,20221029084542,23.2,1000.1,86,286,14.0,0.7,10298.4
57259,20221029084542,12.5,1000.4,91,331,3.8,0.7,10027.6
57265,20221029084542,14.6,1019.8,27,293,12.4,0.7,10032.0
57278,20221029084542,30.3,1013.6,89,216,8.5,0.3,10256.5
57279,20221029084542,21.9,1000.7,71,83,7.0,0.3,10235.0
57355,20221029084542,22.0,1018.4,13,289,6.4,1.1,10423.0
57358,20221029084542,5.1,1025.1,65,294,1.9,1.4,10194.3
57359,20221029084542,32.9,1000.2,3,270,5.3,0.2,10213.4
57363,20221029084542,28.7,1017.5,89,344,0.4,0.6,10262.4
57378,20221029084542,7.9,1020.8,41,38,12.9,1.3,10188.2
57381,20221029084542,12.1,1020.5,41,107,1.6,0.1,10145.8
57395,20221029084542,4.3,1015.9,10,73,12.7,1.2,10330.8
57399,20221029084542,22.9,1020.9,95,273,9.2,1.0,10274.8
57439,20221029084542,13.0,1022.0,10,65,10.5,0.2,10129.8
57445,20221029084542,0.8,1011.2,76,30,11.7,0.3,10276.7
57447,20221029084542,34.9,1003.9,33,3,12.4,0.1,10197.4
57458,20221029084542,14.7,1015.7,94,295,11.4,0.3,10026.7
57461,20221029084542,6.0,1001.2,72,46,6.4,0.0,10035.8
57476,20221029084542,18.2,1008.0,100,37,8.7,1.4,10032.3
57482,20221029084542,32.2,1022.7,22,202,1.6,0.1,10181.0
57483,20221029084542,9.0,1004.4,75,75,10.8,0.7,10294.8
57493,20221029084542,17.2,1002.9,93,52,3.3,0.7,10207.9
57494,20221029084542,11.2,1007.8,24,319,2.6,0.2,10133.8
57545,20221029084542,23.1,1002.2,69,212,3.9,0.5,10128.5
57573,20221029084542,16.1,1016.2,32,180,14.6,0.6,10422.4
57581,20221029084542,12.6,1021.9,79,191,14.0,1.4,10453.3
57583,20221029084542,32.0,1018.5,55,1,8.1,0.9,10295.4
57595,20221029084542,4.5,1021.7,70,346,14.9,1.3,10271.3
58402,20221029084542,18.9,1022.0,17,249,2.7,0.8,10259.5
58407,20221029084542,32.1,1024.3,98,14,13.9,0.7,10105.1
58500,20221029084542,20.2,1010.0,81,333,8.5,1.5,10129.8
57554,20221029084542,1.7,1016.9,20,159,6.8,0.4,10139.1
57562,20221029084542,12.2,1026.4,9,329,11.1,1.3,10033.4
57574,20221029084542,13.1,1017.2,13,288,13.7,1.3,10429.2
57584,20221029084542,9.6,1019.2,20,98,13.9,1.2,10218.1
57642,20221029084542,18.9,1024.4,91,135,5.5,1.3,10074.8
57649,20221029084542,20.2,1025.4,85,153,13.0,0.9,10127.9
57655,20221029084542,1.5,1021.5,67,155,14.9,1.4,10399.8
57662,20221029084542,1.9,1003.0,59,284,7.9,0.5,10293.9
57669,20221029084542,10.4,1012.4,88,194,2.0,1.3,10106.2
57671,20221029084542,25.0,1007.7,69,200,8.6,0.0,10464.0
57673,20221029084542,32.0,1005.2,49,173,11.7,0.2,10289.1
57679,20221029084542,21.2,1021.0,56,184,3.7,1.3,10480.7
57682,20221029084542,13.7,1001.8,45,266,12.2,1.1,10179.5
57687,20221029084542,26.7,1015.3,75,121,14.7,1.4,10057.9
57745,20221029084542,16.0,1011.1,15,255,4.4,0.7,10076.2
57749,20221029084542,0.8,1012.6,21,210,12.6,0.7,10325.9
57752,20221029084542,11.8,1003.9,56,181,13.2,0.3,10389.1
57758,20221029084542,5.4,1004.2,1,141,9.3,1.0,10068.0
57761,20221029084542,0.0,1012.3,96,106,11.4,0.2,10201.4
57766,20221029084542,6.5,1018.7,2,342,0.8,0.9,10370.5
57774,20221029084542,21.4,1019.6,39,260,14.0,0.2,10375.8
57776,20221029084542,19.2,1015.2,2,82,13.0,0.5,10354.9
57779,20221029084542,31.9,1001.7,11,13,9.7,1.4,10038.8
57780,20221029084542,5.6,1025.5,74,92,14.9,0.7,10307.7
57841,20221029084542,18.1,1001.5,99,96,0.1,1.3,10252.4
57845,20221029084542,8.8,1021.0,84,269,3.2,0.0,10240.5
57853,20221029084542,1.6,1004.0,93,99,11.9,1.4,10270.0
57857,20221029084542,22.9,1010.2,98,211,3.4,0.2,10328.8
57860,20221029084542,30.3,1018.4,99,33,0.2,0.4,10147.6
57866,20221029084542,23.2,1016.5,39,211,12.0,1.3,10101.5
57872,20221029084542,22.3,1002.5,77,149,10.0,0.0,10486.4
57874,20221029084542,20.7,1012.8,67,38,13.7,0.3,10057.0
57889,20221029084542,13.9,1008.7,74,325,3.9,0.3,10324.2
57965,20221029084542,23.9,1025.1,41,156,10.7,1.4,10212.9
57972,20221029084542,24.0,1022.4,73,94,1.4,0.8,10347.9
57974,20221029084542,0.6,1018.9,18,175,4.4,0.7,10208.7
50936,20221029084542,2.2,1010.5,48,323,13.9,0.8,10255.2
50945,20221029084542,12.1,1024.0,12,279,1.7,1.5,10054.8
50948,20221029084542,10.4,1003.4,20,245,14.0,0.3,10316.9
50949,20221029084542,10.3,1016.7,49,170,11.1,1.3,10420.7
54041,20221029084542,13.2,1024.7,84,208,0.4,0.7,10200.6
54049,20221029084542,3.8,1016.8,58,52,14.9,1.2,10025.7
54063,20221029084542,11.9,1019.9,64,34,1.0,0.3,10397.2
54064,20221029084542,31.5,1019.6,92,56,1.8,0.3,10138.1
54142,20221029084542,19.0,1006.6,84,268,10.8,1.1,10420.7
54157,20221029084542,19.0,1008.5,26,256,10.5,0.6,10198.0
54161,20221029084542,23.3,1009.9,76,314,13.0,1.5,10391.8
54165,20221029084542,3.6,1019.9,21,252,0.0,0.7,10252.3
54171,20221029084542,25.0,1008.6,27,170,0.7,0.2,10297.1
54181,20221029084542,21.3,1012.4,21,250,13.1,1.3,10281.4
54186,20221029084542,31.4,1024.9,71,213,13.3,1.4,10018.8
54195,20221029084542,5.1,1011.2,89,276,11.1,0.0,10278.0
54260,20221029084542,1.0,1012.6,2,242,7.4,1.2,10477.0
54263,20221029084542,21.1,1009.7,77,62,7.3,0.8,10388.2
54266,20221029084542,1.2,1009.6,24,162,2.0,0.1,10480.9
54273,20221029084542,7.0,1019.6,56,281,7.8,1.1,10230.2
54276,20221029084542,24.4,1003.5,32,75,12.6,0.4,10053.6
54284,20221029084542,0.6,1008.9,75,35,0.6,0.6,10030.1
54285,20221029084542,32.0,1018.3,22,35,8.9,0.4,10462.4
54286,20221029084542,26.3,1004.8,66,89,8.1,0.4,10248.8
54292,20221029084542,29.5,1019.7,21,341,7.4,1.5,10484.1
54363,20221029084542,25.8,1020.8,47,154,0.4,0.0,10396.0
54374,20221029084542,3.3,1024.8,27,164,7.3,0.7,10033.9
54377,20221029084542,29.9,1011.4,63,76,8.4,0.3,10493.6
54386,20221029084542,11.7,1007.2,89,25,7.1,0.0,10351.8
58026,20221029084542,11.0,1007.9,88,159,5.4,1.3,10011.5
58027,20221029084542,33.7,1010.3,43,323,13.3,1.2,10307.5
58038,20221029084542,28.7,1017.9,53,91,6.5,0.6,10430.9
58040,20221029084542,20.0,1012.3,98,345,14.7,1.3,10039.5
58047,20221029084542,24.7,1005.3,74,267,6.2,0.1,10246.0
58130,20221029084542,10.2,1010.1,72,338,5.6,0.1,10283.4
58135,20221029084542,0.9,1019.5,23,36,0.6,0.6,10136.7
58138,20221029084542,12.9,1014.0,20,41,13.5,1.3,10364.5
58141,20221029084542,0.7,1007.1,34,216,0.6,0.6,10270.3
58143,20221029084542,18.6,1024.4,42,288,11.8,0.0,10149.1
58150,20221029084542,3.3,1002.2,22,356,6.2,0.7,10185.1
58158,20221029084542,1.4,1007.6,84,350,6.1,0.7,10192.9
58238,20221029084542,26.3,1020.4,55,133,8.2,0.7,10205.0
58241,20221029084542,2.3,1015.6,65,29,11.5,0.5,10330.4
58251,20221029084542,27.6,1021.9,18,310,14.6,0.2,10183.3
58252,20221029084542,16.4,1014.5,91,51,5.6,0.1,10381.6
58255,20221029084542,3.7,1017.0,38,109,10.6,1.2,10262.8
58259,20221029084542,4.6,1013.1,93,330,2.7,0.9,10020.4
58265,20221029084542,3.9,1003.9,42,90,8.6,1.4,10234.4
58343,20221029084542,19.6,1017.0,19,215,13.7,0.4,10060.5
58345,20221029084542,1.0,1004.3,52,54,7.0,0.5,10307.4
58354,20221029084542,31.5,1024.5,40,118,1.6,0.7,10036.5
58356,20221029084542,14.7,1006.7,92,141,5.9,1.3,10353.4
58358,20221029084542,16.6,1024.0,65,189,4.8,0.2,10359.3
57598,20221029084542,3.2,1005.2,3,221,8.5,0.2,10331.4
57696,20221029084542,9.8,1020.5,32,294,3.2,1.4,10475.4
57789,20221029084542,24.0,1011.6,5,234,14.8,1.2,10224.2
57793,20221029084542,28.5,1011.8,60,352,7.8,1.5,10073.4
57799,20221029084542,26.4,1023.9,59,214,5.6,0.1,10271.2
57894,20221029084542,22.3,1023.2,43,169,11.4,1.4,10232.1
57896,20221029084542,14.0,1022.6,41,126,0.4,0.8,10238.9
57993,20221029084542,1.8,1010.9,29,22,2.9,1.5,10198.7
58506,20221029084542,34.3,1017.9,2,218,7.6,1.5,10033.6
